States,Latitude,Longitude
Andhra Pradesh,17.4,78.48
Arunachal Pradesh,27.1004,93.6166
Assam,26.144,91.7666
Bihar,25.625,85.13
Goa,15.492,73.818
Gujarat,23.3004,72.6399
Haryana,30.72,76.78
Jammu and Kashmir,34.1,74.815
Jharkhand,23.37,85.33
Karnataka,12.97,77.56
Kerala,8.5,76.95
Madhya Pradesh,23.25,77.41
Maharashtra,19.017,72.857
Manipur,24.8,93.95
Meghalaya,25.5705,91.88
Mizoram,23.7104,92.72
Nagaland,25.667,94.1166
Rajasthan,26.9211,75.81
Sikkim,27.3333,88.6166
Tamil Nadu,13.09,80.28
Tripura,23.8354,91.28
Uttar Pradesh,26.855,80.915
West Bengal,22.495,88.3247
Himachal Pradesh,31.10002545,77.16659704
Chhattisgarh,22.09042035,82.15998734
Odisha,19.82042971,85.90001746
Punjab,31.51997398,75.98000281
Uttarakhand,30.0668,79.0193
